"교육청명","교육지원청명","유치원코드","유치원명","설립유형","교실수","교실면적","체육장","보건/위생공간","조리실/급식공간","기타공간","공시차수","주소"
"서울특별시교육청","성동광진교육지원청","1ecec08d-04bc-b044-e053-0a32095ab044","벧엘유치원","사립(사인)","8개","331㎡","㎡","114㎡","120㎡","331㎡","20181","서울특별시 성동구 행당로6길 97"
"서울특별시교육청","성동광진교육지원청","1ecec08c-f8d0-b044-e053-0a32095ab044","성심유치원","사립(법인)","4개","230㎡","㎡","5㎡","12㎡","5㎡","20241","서울특별시 성동구 무학로10길 21"
"서울특별시교육청","성동광진교육지원청","1ecec08c-fe09-b044-e053-0a32095ab044","옥수삼성유치원","사립(사인)","4개","304㎡","72㎡","49㎡","130㎡","9㎡","20241","서울특별시 성동구 독서당로 218"
"서울특별시교육청","성동광진교육지원청","1ecec08d-00be-b044-e053-0a32095ab044","세성유치원","사립(사인)","3개","145㎡","65㎡","0㎡","0㎡","0㎡","20241","서울특별시 성동구 독서당로 434"
"서울특별시교육청","성동광진교육지원청","1ecec08d-01d5-b044-e053-0a32095ab044","서울용답초등학교병설유치원","공립(병설)","4개","200㎡","470㎡","27㎡","231㎡","43㎡","20241","서울특별시 성동구 용답25길 1"
"서울특별시교육청","성동광진교육지원청","1ecec08d-029d-b044-e053-0a32095ab044","서울송원초등학교병설유치원","공립(병설)","6개","645㎡","㎡","198㎡","1122㎡","198㎡","20241","서울특별시 성동구 동일로43길 9"
"서울특별시교육청","성동광진교육지원청","1ecec08d-02a8-b044-e053-0a32095ab044","율화유치원","사립(사인)","5개","260㎡","㎡","37㎡","48㎡","61㎡","20241","서울특별시 성동구 고산자로2길 35"
"서울특별시교육청","성동광진교육지원청","1ecec08d-04f3-b044-e053-0a32095ab044","무학유치원","사립(사인)","2개","134㎡","㎡","35㎡","0㎡","68㎡","20191","서울특별시 성동구 무학봉15가길 4"
"서울특별시교육청","성동광진교육지원청","1ecec08d-02af-b044-e053-0a32095ab044","서울성수초등학교병설유치원","공립(병설)","3개","198㎡","66㎡","0㎡","132㎡","132㎡","20241","서울특별시 성동구 아차산로17길 21"
"서울특별시교육청","성동광진교육지원청","1ecec08d-0433-b044-e053-0a32095ab044","에덴유치원","사립(사인)","6개","946㎡","342㎡","66㎡","33㎡","321㎡","20241","서울특별시 성동구 행당로 79"
"서울특별시교육청","강서양천교육지원청","1ecec08d-0913-b044-e053-0a32095ab044","신목유치원","사립(사인)","5개","346㎡","㎡","14㎡","18㎡","36㎡","20241","서울특별시 양천구 목동중앙북로10길 7-10"
"서울특별시교육청","성동광진교육지원청","1ecec08c-f526-b044-e053-0a32095ab044","송곡유치원","사립(법인)","4개","283㎡","㎡","0㎡","59㎡","82㎡","20201","서울특별시 성동구 무학로6길 41"
"서울특별시교육청","성동광진교육지원청","1ecec08d-08e1-b044-e053-0a32095ab044","솔유치원","사립(사인)","8개","489㎡","㎡","34㎡","30㎡","56㎡","20191","서울특별시 성동구 무학로 50"
"서울특별시교육청","성동광진교육지원청","1ecec08d-0676-b044-e053-0a32095ab044","한양여자대학교부속유치원","사립(법인)","6개","476㎡","㎡","126㎡","0㎡","132㎡","20241","서울특별시 성동구 살곶이길 200"
"서울특별시교육청","성동광진교육지원청","1ecec08d-0725-b044-e053-0a32095ab044","서울경수초등학교병설유치원","공립(병설)","4개","264㎡","132㎡","44㎡","686㎡","132㎡","20241","서울특별시 성동구 뚝섬로13길 22"
"서울특별시교육청","성동광진교육지원청","1ecec08d-08e0-b044-e053-0a32095ab044","세인유치원","사립(사인)","6개","237㎡","㎡","22㎡","10㎡","24㎡","20241","서울특별시 성동구 마장로42길 26"
"서울특별시교육청","성동광진교육지원청","1ecec08d-0ade-b044-e053-0a32095ab044","서울옥수초등학교병설유치원","공립(병설)","4개","306㎡","72㎡","25㎡","31㎡","372㎡","20241","서울특별시 성동구 금호로1길 25"
"서울특별시교육청","성동광진교육지원청","1ecec08d-0af9-b044-e053-0a32095ab044","미타유치원","사립(사인)","8개","400㎡","210㎡","44㎡","42㎡","140㎡","20241","서울특별시 성동구 독서당로40길 21"
"서울특별시교육청","성동광진교육지원청","1ecec08d-0c8d-b044-e053-0a32095ab044","서울경동유치원","공립(단설)","7개","423㎡","196㎡","119㎡","100㎡","761㎡","20241","서울특별시 성동구 성수일로 34"
"서울특별시교육청","성동광진교육지원청","1ecec08d-0d95-b044-e053-0a32095ab044","금호유치원","사립(법인)","3개","286㎡","㎡","6㎡","0㎡","107㎡","20241","서울특별시 성동구 금호산2길 35"
