"교육청명","교육지원청명","유치원코드","유치원명","설립유형","독립편성학급수","오후재편성학급수","운영시간","독립편성참여원아수","오후재편성참여원아수","정규교사수","기간제교사수","강사수","공시차수","주소"
"서울특별시교육청","북부교육지원청","1ecec08d-0d3b-b044-e053-0a32095ab044","서울연촌초등학교병설유치원","공립(병설)","0","2","07시00분~19시00분","0","31","0","0","0","20241","서울특별시 노원구 공릉로58길 36"
"서울특별시교육청","북부교육지원청","1ecec08d-0d3c-b044-e053-0a32095ab044","성희유치원","사립(사인)","2","0","07시30분~19시30분","53","","2","0","0","20241","서울특별시 노원구 동일로215길 48"
"서울특별시교육청","북부교육지원청","1ecec08d-0d3d-b044-e053-0a32095ab044","신창유치원","사립(사인)","","","09시00분~13시00분","","","","","","20241","서울특별시 도봉구 덕릉로 272"
"서울특별시교육청","북부교육지원청","1ecec08d-0d3e-b044-e053-0a32095ab044","연세유치원","사립(사인)","0","6","07시00분~20시00분","0","98","6","0","0","20241","서울특별시 노원구 섬밭로 265"
"서울특별시교육청","서부교육지원청","1ecec08d-0d42-b044-e053-0a32095ab044","서울공덕초등학교병설유치원","공립(병설)","0","2","07시00분~20시00분","","35","0","0","2","20241","서울특별시 마포구 만리재옛길 13"
"서울특별시교육청","강남서초교육지원청","1ecec08d-0d4f-b044-e053-0a32095ab044","이화유치원","사립(사인)","0","2","07시00분~20시00분","","56","2","0","0","20241","서울특별시 강남구 개포로109길 5"
"서울특별시교육청","강동송파교육지원청","1ecec08d-0d55-b044-e053-0a32095ab044","천호유치원","사립(법인)","0","5","08시40분~18시00분","","119","5","0","0","20241","서울특별시 강동구 구천면로 236-1"
"서울특별시교육청","강동송파교육지원청","1ecec08d-0d56-b044-e053-0a32095ab044","의명유치원","사립(사인)","0","6","09시00분~18시00분","","129","6","0","0","20241","서울특별시 송파구 오금로35길 17"
"서울특별시교육청","동작관악교육지원청","1ecec08d-0d67-b044-e053-0a32095ab044","명수유치원","사립(법인)","0","3","09시00분~18시00분","0","82","3","0","0","20241","서울특별시 동작구 흑석로13길 3"
"서울특별시교육청","동작관악교육지원청","1ecec08d-0d68-b044-e053-0a32095ab044","배꽃유치원","사립(사인)","4","0","08시00분~19시00분","92","","4","0","0","20241","서울특별시 관악구 봉천로29길 47"
"서울특별시교육청","동작관악교육지원청","1ecec08d-0d69-b044-e053-0a32095ab044","새소슬유치원","사립(사인)","0","4","07시30분~19시30분","","87","4","0","0","20241","서울특별시 관악구 성현로 80"
"서울특별시교육청","동작관악교육지원청","1ecec08d-0d6a-b044-e053-0a32095ab044","새싹유치원","사립(사인)","0","3","07시00분~19시00분","0","62","3","0","0","20241","서울특별시 관악구 남현2길 90"
