교육청명,교육지원청명,유치원코드,유치원명,설립유형,실내공기질 점검일자,실내공기질 점검결과,정기소독 의무대상시설여부,정기소독 점검일자,정기소독 점검결과,음용수종류(먹는샘물(생수)),음용수종류(정수기),음용수종류(상수도),음용수종류(지하수),지하수사용시 수질 검사여부,지하수사용시 검사일자,지하수사용시 검사결과,미세먼지 검사일자,미세먼지 검사결과,조도관리 검사일자,조도관리 검사결과,공시차수,주소
서울특별시교육청,북부교육지원청,1ecec08d-0b2d-b044-e053-0a32095ab044,한양유치원,사립(법인),20240912,적합,Y,20240926,실시,-,O,-,-,N,-,-,20240912,-,20240912,-,20242,서울특별시 노원구 마들로 31
서울특별시교육청,북부교육지원청,1ecec08d-0bb4-b044-e053-0a32095ab044,꿈터유치원,사립(사인),20240910,적합,Y,20240823,실시,-,-,O,-,N,-,-,20240910,-,20240920,-,20242,서울특별시 노원구 동일로230길 63
서울특별시교육청,북부교육지원청,1ecec08d-0c09-b044-e053-0a32095ab044,한성유치원,사립(사인),20240607,적합,Y,20240925,실시,-,O,-,-,N,-,-,20240415,-,20240607,-,20242,서울특별시 노원구 한글비석로 145
서울특별시교육청,북부교육지원청,1ecec08d-0cc4-b044-e053-0a32095ab044,서울태랑초등학교병설유치원,공립(병설),20240704,적합,Y,20240814,실시,-,-,O,-,N,-,-,20240704,-,20240704,-,20242,서울특별시 노원구 화랑로51나길 31
서울특별시교육청,북부교육지원청,1ecec08d-0d3b-b044-e053-0a32095ab044,서울연촌초등학교병설유치원,공립(병설),20240521,적합,Y,20240913,실시,O,-,-,-,N,-,-,20240521,-,20240521,-,20242,서울특별시 노원구 공릉로58길 36
서울특별시교육청,북부교육지원청,1ecec08d-0d3c-b044-e053-0a32095ab044,성희유치원,사립(사인),20240503,적합,Y,20240902,실시,-,O,-,-,N,-,-,20240503,-,20240503,-,20242,서울특별시 노원구 동일로215길 48
서울특별시교육청,북부교육지원청,1ecec08d-0d3e-b044-e053-0a32095ab044,연세유치원,사립(사인),20240530,적합,Y,20240821,실시,-,O,-,-,N,-,-,20240927,-,20240530,-,20242,서울특별시 노원구 섬밭로 265
서울특별시교육청,북부교육지원청,1ecec08d-0d3f-b044-e053-0a32095ab044,영산유치원,사립(사인),20190822,적합,Y,20190814,실시,-,O,-,-,N,-,-,20190822,-,20190822,-,20192,서울특별시 노원구 동일로216길 47
서울특별시교육청,북부교육지원청,1ecec08d-0e2e-b044-e053-0a32095ab044,서울동일초등학교병설유치원,공립(병설),20240617,적합,Y,20240822,실시,-,-,O,-,N,-,-,20240617,-,20240617,-,20242,서울특별시 노원구 한글비석로 566
서울특별시교육청,북부교육지원청,1ecec08d-0e2f-b044-e053-0a32095ab044,미성유치원,사립(사인),20180814,적합,Y,20180824,실시,-,O,-,-,N,-,-,20180814,-,-,-,20182,서울특별시 노원구 공릉로59길 28
